variant,n,pass,time_ms,max_depth_after,avg_path_length
UnionRank,1024,1,0.082500,10,6.00
UnionRank,1024,2,0.073600,10,6.00
UnionRank,1024,3,0.071600,10,6.00
FullTarjan,1024,1,0.285400,1,3.98
FullTarjan,1024,2,0.064300,1,2.00
FullTarjan,1024,3,0.064900,1,2.00
UnionRank,16384,1,1.511600,14,8.00
UnionRank,16384,2,1.472500,14,8.00
UnionRank,16384,3,1.606800,14,8.00
FullTarjan,16384,1,1.192200,1,4.00
FullTarjan,16384,2,0.210400,1,2.00
FullTarjan,16384,3,0.150700,1,2.00
UnionRank,262144,1,21.928600,18,10.00
UnionRank,262144,2,20.835100,18,10.00
UnionRank,262144,3,19.899400,18,10.00
FullTarjan,262144,1,6.453800,1,4.00
FullTarjan,262144,2,1.778600,1,2.00
FullTarjan,262144,3,1.795100,1,2.00
UnionRank,1048576,1,103.753000,20,11.00
UnionRank,1048576,2,116.976800,20,11.00
UnionRank,1048576,3,112.779600,20,11.00
FullTarjan,1048576,1,34.627400,1,4.00
FullTarjan,1048576,2,9.213400,1,2.00
FullTarjan,1048576,3,11.295400,1,2.00
UnionRank,4194304,1,784.770800,22,12.00
UnionRank,4194304,2,788.630400,22,12.00
UnionRank,4194304,3,803.982700,22,12.00
FullTarjan,4194304,1,144.874800,1,4.00
FullTarjan,4194304,2,50.448800,1,2.00
FullTarjan,4194304,3,84.403300,1,2.00
